Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2022-11-25,8.9,21.3,0.0,3.2,8.2,SSW,30.0,11:55,13.3,76,7.0,SSW,11,1021.7,19.2,53,3,SW,9,1019.7
2022-11-26,9.1,27.0,0.0,5.0,6.1,W,78.0,18:08,19.6,51,7.0,NNE,28,1011.6,26.8,34,7,N,44,1004.3
2022-11-27,11.6,20.9,0.6,8.2,4.6,SW,59.0,16:05,15.3,77,7.0,WSW,17,1004.6,19.3,45,5,WSW,22,1003.8
2022-11-28,6.4,18.1,0.6,4.6,4.1,W,39.0,16:30,13.1,65,1.0,W,15,1009.2,16.1,53,7,W,17,1008.3
2022-11-29,10.7,18.8,0.0,3.4,11.8,SW,39.0,09:37,14.6,65,7.0,SW,24,1015.7,17.4,57,7,SSE,13,1016.7
2022-11-30,9.3,19.1,0.0,5.0,10.2,SSW,39.0,15:46,14.5,63,7.0,SSW,15,1019.8,17.4,51,4,S,20,1017.5
2022-12-1,12.2,18.9,0.4,5.8,5.4,SSW,39.0,16:07,14.7,78,7.0,SSE,20,1018.8,18.1,62,7,S,26,1017.4
2022-12-2,7.6,24.3,0.0,4.8,12.4,S,30.0,14:04,13.8,74,5.0,W,9,1018.3,23.5,52,1,SSE,9,1015.0
2022-12-3,12.4,30.7,0.0,5.4,11.7,N,48.0,07:53,22.3,59,1.0,N,37,1015.5,29.4,33,6,WSW,9,1013.3
2022-12-4,14.7,33.8,0.0,7.2,11.8,N,52.0,11:37,26.5,49,1.0,N,30,1012.1,32.7,28,7,NW,24,1008.6
2022-12-5,14.7,18.8,0.0,13.4,2.3,SSW,57.0,15:24,15.2,81,7.0,SW,30,1009.6,16.6,64,7,SSW,31,1011.5
2022-12-6,11.2,20.7,1.2,3.8,7.3,SW,35.0,23:25,13.9,87,7.0,SW,13,1011.9,20.3,49,5,SW,11,1008.7
2022-12-7,10.5,20.2,0.0,4.6,6.3,SW,69.0,18:31,14.1,81,7.0,WSW,9,1004.3,17.8,67,7,S,26,1004.1
2022-12-8,6.8,16.3,0.0,5.6,8.0,SW,56.0,08:18,11.5,61,3.0,SW,30,1013.4,13.9,53,7,SSW,28,1014.9
